0 1.29352 0.36747 0
500 5.78137 0.451108 2.09355
1000 8.52037 0.518068 3.26398
1500 9.22639 0.519052 3.54638
2000 9.9665 0.521871 3.81133
2500 10.2806 0.519355 3.90661
3000 11.3237 0.542815 4.26891
3500 11.1518 0.530087 4.20328
4000 11.3139 0.523707 4.24992
4500 10.9396 0.501647 4.11756
5000 11.6158 0.537124 4.41341
5500 11.0491 0.487798 4.11227
6000 11.3963 0.499522 4.20303
6500 11.2468 0.481851 4.14671
7000 11.1989 0.458451 4.08707
7500 11.3844 0.422541 4.09719
8000 11.6019 0.42509 4.15663
8500 11.9015 0.425775 4.24647
9000 12.0476 0.423588 4.2602
9500 12.1185 0.422332 4.26176
10000 12.26 0.423473 4.29399
10500 12.9578 0.443586 4.54183
11000 12.9393 0.43543 4.48525
11500 13.3703 0.444338 4.64317
12000 13.2963 0.43744 4.56841
12500 13.5251 0.437709 4.62384
13000 13.4609 0.433753 4.56711
13500 13.374 0.428181 4.51356
14000 13.5343 0.428733 4.5576
14500 13.621 0.428325 4.56467
15000 13.861 0.42812 4.61807
15500 14.0263 0.430897 4.63157
16000 14.2504 0.433403 4.69905
16500 14.3638 0.431221 4.70176
17000 14.5651 0.43412 4.76445
17500 14.6954 0.440116 4.78476
18000 14.8403 0.432959 4.79058
18500 14.8835 0.432951 4.79022
19000 15.0121 0.431771 4.77137
19500 15.1221 0.435514 4.79623
20000 15.2742 0.434115 4.82695
20500 15.4109 0.430573 4.83725
21000 15.5791 0.433866 4.85383
21500 15.6408 0.434902 4.86218
22000 15.7834 0.431021 4.89421
22500 15.9711 0.435256 4.91524
23000 16.1641 0.438583 4.96619
23500 16.3507 0.437889 4.9977
24000 16.466 0.433948 5.02878
24500 16.6233 0.435945 5.04087
25000 16.7836 0.435092 5.07059
25500 16.9729 0.438991 5.07934
26000 17.0597 0.436129 5.06869
26500 17.201 0.433325 5.07848
27000 17.3416 0.437757 5.08285
27500 17.4839 0.436494 5.10783
28000 17.7835 0.442329 5.18164
28500 17.666 0.438262 5.12123
29000 17.8547 0.43733 5.14273
29500 18.01 0.437089 5.14656
30000 18.2184 0.439996 5.19708
30500 18.5055 0.450508 5.26936
31000 18.8484 0.44684 5.34061
31500 18.6633 0.441207 5.23595
